Engine e2e CLI verification suite — v2 fixture migration + race safety
Branch: feat/integrations-monorepo
Generated: 2026-07-26T15:38:14Z

Build:   go build -o /tmp/pacto-mono ./cmd/pacto
Command: PACTO_BIN=/tmp/pacto-mono go test -tags e2e -race -count=1 -v ./tests/e2e/...

Summary: 266 subtests PASS, 0 FAIL, 0 DATA RACE
Stability: 3 additional fresh -count=1 -race runs, all exit 0 / 0 data races.
(registry HTTP access-log lines filtered from the transcript below for readability)

========================= TEST TRANSCRIPT =========================
    --- PASS: TestReadinessPolicyEnforcement/contract_violating_readiness_policy_is_rejected (0.87s)
--- PASS: TestReadinessValidate (0.00s)
    --- PASS: TestReadinessValidate/duplicate_readiness_id_rejected (0.73s)
    --- PASS: TestReadinessValidate/unsupported_pactoVersion_rejected (0.73s)
    --- PASS: TestReadinessValidate/v1_readiness_checks_field_rejected_under_2.0 (0.73s)
    --- PASS: TestReadinessValidate/invalid_expires_date_rejected (0.72s)
    --- PASS: TestReadinessValidate/valid_1.1_readiness_contract (0.68s)
--- PASS: TestDashboardWithOCI (8.46s)
--- PASS: TestReadinessValidateGate (0.00s)
    --- PASS: TestReadinessValidateGate/--readiness_fails_when_score_below_minScore (7.58s)
    --- PASS: TestReadinessValidateGate/--readiness_passes_when_score_meets_minScore_and_current (7.58s)
    --- PASS: TestReadinessValidateGate/plain_validate_passes_(gate_off_by_default) (7.58s)
    --- PASS: TestReadinessValidateGate/--readiness_fails_when_assessment_expired (7.58s)
--- PASS: TestReadinessExplain (0.00s)
    --- PASS: TestReadinessExplain/json_output_includes_readiness (0.39s)
    --- PASS: TestReadinessExplain/text_output_shows_readiness_summary_and_checks (0.39s)
--- PASS: TestFullLifecycle (33.32s)
--- PASS: TestOverrideDiff (11.42s)
    --- PASS: TestOverrideDiff/new-set_changes_version_for_diff (1.27s)
    --- PASS: TestOverrideDiff/old-set_and_new-set_independently (7.60s)
    --- PASS: TestOverrideDiff/old-values_and_new-values_files (0.69s)
    --- PASS: TestOverrideDiff/new-set_takes_precedence_over_new-values_in_diff (1.84s)
--- PASS: TestUserStoryPublishAndConsume (32.86s)
--- PASS: TestValidateFileContent (0.01s)
    --- PASS: TestValidateFileContent/rejects_invalid_JSON_in_config_schema (1.48s)
    --- PASS: TestValidateFileContent/rejects_uncompilable_config_schema (1.33s)
    --- PASS: TestValidateFileContent/accepts_valid_bundle_with_all_referenced_files (0.94s)
    --- PASS: TestValidateFileContent/rejects_invalid_JSON_in_policy_schema (0.94s)
    --- PASS: TestValidateFileContent/rejects_invalid_YAML_in_interface_contract (0.93s)
--- PASS: TestPushCommand (0.00s)
    --- PASS: TestPushCommand/json_output (0.68s)
    --- PASS: TestPushCommand/with_values_override (1.03s)
    --- PASS: TestPushCommand/verbose_flag (1.33s)
    --- PASS: TestPushCommand/help_flag (1.53s)
    --- PASS: TestPushCommand/rejects_invalid_contract (1.53s)
    --- PASS: TestPushCommand/markdown_output (1.85s)
    --- PASS: TestPushCommand/pushes_and_reports_digest (1.78s)
    --- PASS: TestPushCommand/force_overwrites_existing (2.61s)
--- PASS: TestUpdateCommand (0.00s)
    --- PASS: TestUpdateCommand/dev_build_error (1.41s)
    --- PASS: TestUpdateCommand/specific_version_dev_build_error (1.69s)
    --- PASS: TestUpdateCommand/command_registered (1.55s)
    --- PASS: TestUpdateCommand/too_many_args (1.26s)
--- PASS: TestDashboardCommand (23.54s)
    --- PASS: TestDashboardCommand/no_sources_detected (0.01s)
    --- PASS: TestDashboardCommand/local_source_detection (17.50s)
    --- PASS: TestDashboardCommand/hidden_subdir_does_not_activate_local_source (6.02s)
    --- PASS: TestDashboardCommand/help_flag (0.43s)
    --- PASS: TestDashboardCommand/custom_port_flag (0.29s)
--- PASS: TestValidateCommand (0.01s)
    --- PASS: TestValidateCommand/local_invalid (7.57s)
    --- PASS: TestValidateCommand/verbose_flag_accepted (7.58s)
    --- PASS: TestValidateCommand/no_pacto.yaml_error (7.59s)
    --- PASS: TestValidateCommand/help_flag (0.38s)
    --- PASS: TestValidateCommand/missing_directory_error (0.38s)
    --- PASS: TestValidateCommand/structured_owner_valid (0.40s)
    --- PASS: TestValidateCommand/scalar_owner_rejected (0.39s)
    --- PASS: TestValidateCommand/markdown_output (0.74s)
    --- PASS: TestValidateCommand/OCI_reference_validation (1.87s)
    --- PASS: TestValidateCommand/json_output (5.35s)
    --- PASS: TestValidateCommand/local_valid (5.18s)
--- PASS: TestPullCommand (0.01s)
    --- PASS: TestPullCommand/nonexistent_ref_error (0.88s)
    --- PASS: TestPullCommand/help_flag (1.41s)
    --- PASS: TestPullCommand/pulls_to_specified_output (2.16s)
    --- PASS: TestPullCommand/no-cache_flag (2.00s)
    --- PASS: TestPullCommand/markdown_output (2.14s)
    --- PASS: TestPullCommand/json_output (2.28s)
    --- PASS: TestPullCommand/default_output_directory (2.50s)
--- PASS: TestDiffOverrides (0.00s)
    --- PASS: TestDiffOverrides/old-set_and_new-set_independently (0.17s)
    --- PASS: TestDiffOverrides/old-values_and_new-values_files (0.18s)
    --- PASS: TestDiffOverrides/new-set_takes_precedence_over_new-values_in_diff (0.18s)
    --- PASS: TestDiffOverrides/new-set_changes_version_for_diff (0.21s)
--- PASS: TestLoginCommand (0.00s)
    --- PASS: TestLoginCommand/help_flag (0.71s)
    --- PASS: TestLoginCommand/missing_username_error (0.58s)
    --- PASS: TestLoginCommand/config_merge (0.88s)
    --- PASS: TestLoginCommand/json_output (0.63s)
    --- PASS: TestLoginCommand/pacto_config_write (0.65s)
--- PASS: TestExplainStructuredOwner (0.00s)
    --- PASS: TestExplainStructuredOwner/json_output (0.29s)
    --- PASS: TestExplainStructuredOwner/text_output (0.28s)
--- PASS: TestInitCommand (0.00s)
    --- PASS: TestInitCommand/help_flag (0.03s)
    --- PASS: TestInitCommand/error_without_name (0.03s)
    --- PASS: TestInitCommand/scaffold_structure (0.49s)
    --- PASS: TestInitCommand/error_on_existing_dir (0.48s)
    --- PASS: TestInitCommand/markdown_output (0.48s)
    --- PASS: TestInitCommand/json_output (0.49s)
--- PASS: TestExplainCommand (0.00s)
    --- PASS: TestExplainCommand/help_flag (0.02s)
    --- PASS: TestExplainCommand/markdown_output (0.03s)
    --- PASS: TestExplainCommand/verbose_flag (0.03s)
    --- PASS: TestExplainCommand/with_set_override (0.03s)
    --- PASS: TestExplainCommand/json_output (0.03s)
    --- PASS: TestExplainCommand/text_output (0.31s)
    --- PASS: TestExplainCommand/OCI_reference (0.50s)
--- PASS: TestDocCommand (0.00s)
    --- PASS: TestDocCommand/help_flag (0.30s)
    --- PASS: TestDocCommand/text_output (0.31s)
    --- PASS: TestDocCommand/verbose_flag (0.31s)
    --- PASS: TestDocCommand/with_set_override (0.31s)
    --- PASS: TestDocCommand/serve_and_output_mutually_exclusive (0.32s)
    --- PASS: TestDocCommand/json_output (0.45s)
    --- PASS: TestDocCommand/markdown_output (0.45s)
    --- PASS: TestDocCommand/with_output_dir (0.47s)
    --- PASS: TestDocCommand/OCI_reference (0.64s)
--- PASS: TestDocCommandUI (0.00s)
    --- PASS: TestDocCommandUI/one_interface (0.46s)
    --- PASS: TestDocCommandUI/unknown_interface_errors (0.45s)
    --- PASS: TestDocCommandUI/global_target (0.46s)
    --- PASS: TestDocCommandUI/ui_and_output_mutually_exclusive (0.32s)
    --- PASS: TestDocCommandUI/per-interface_targets (0.18s)
    --- PASS: TestDocCommandUI/ui_and_serve_mutually_exclusive (0.17s)
    --- PASS: TestDocCommandUI/two_interfaces (0.18s)
    --- PASS: TestDocCommandUI/interface_filter (0.19s)
    --- PASS: TestDocCommandUI/interface_without_ui_errors (0.19s)
    --- PASS: TestDocCommandUI/zero_interfaces_errors (0.18s)
--- PASS: TestOverrideValidate (0.00s)
    --- PASS: TestOverrideValidate/set_takes_precedence_over_values_file (1.91s)
    --- PASS: TestOverrideValidate/last_values_file_wins (1.92s)
    --- PASS: TestOverrideValidate/values_file_then_set_then_values_file_precedence (1.92s)
    --- PASS: TestOverrideValidate/values_file_overrides_contract (1.66s)
    --- PASS: TestOverrideValidate/set_overrides_service_version (1.33s)
    --- PASS: TestOverrideValidate/set_invalid_semver_version_fails (1.07s)
--- PASS: TestGraphCommand (11.67s)
    --- PASS: TestGraphCommand/help_flag (0.17s)
    --- PASS: TestGraphCommand/missing_dep_error_in_edge (0.44s)
    --- PASS: TestGraphCommand/verbose_flag (0.65s)
    --- PASS: TestGraphCommand/markdown_output (0.91s)
    --- PASS: TestGraphCommand/no-cache_flag (1.17s)
    --- PASS: TestGraphCommand/json_output (1.41s)
    --- PASS: TestGraphCommand/dependency_tree_resolution (1.90s)
    --- PASS: TestGraphCommand/OCI_ref_graph (2.33s)
--- PASS: TestGenerateCommand (0.00s)
    --- PASS: TestGenerateCommand/help_flag (0.01s)
    --- PASS: TestGenerateCommand/nonexistent_plugin_error (0.03s)
    --- PASS: TestGenerateCommand/with_plugin_option (0.51s)
    --- PASS: TestGenerateCommand/with_values_override (0.83s)
    --- PASS: TestGenerateCommand/markdown_output (1.27s)
    --- PASS: TestGenerateCommand/plugin_execution (1.45s)
    --- PASS: TestGenerateCommand/json_output (2.96s)
    --- PASS: TestGenerateCommand/OCI_reference (3.93s)
--- PASS: TestGraphWithDependencies (15.35s)
    --- PASS: TestGraphWithDependencies/multi-level_resolution (0.83s)
    --- PASS: TestGraphWithDependencies/json_output_with_full_tree (1.18s)
    --- PASS: TestGraphWithDependencies/with_values_override (1.52s)
    --- PASS: TestGraphWithDependencies/version_conflict_detection (1.84s)
--- PASS: TestOverrideConfigValues (0.00s)
    --- PASS: TestOverrideConfigValues/wrong_type_config_value_fails (1.48s)
    --- PASS: TestOverrideConfigValues/undefined_config_property_fails (1.34s)
    --- PASS: TestOverrideConfigValues/config_values_via_values_file (1.07s)
    --- PASS: TestOverrideConfigValues/set_overrides_config_values_from_file (0.72s)
    --- PASS: TestOverrideConfigValues/valid_config_values_via_set (0.39s)
--- PASS: TestVersionCommand (0.00s)
    --- PASS: TestVersionCommand/prints_version (0.16s)
    --- PASS: TestVersionCommand/help_flag (0.37s)
--- PASS: TestSBOMDiff (0.00s)
    --- PASS: TestSBOMDiff/diff_with_no_SBOMs_shows_no_SBOM_section (0.07s)
    --- PASS: TestSBOMDiff/json_output_includes_sbomDiff (0.08s)
    --- PASS: TestSBOMDiff/one_bundle_with_SBOM_one_without (0.07s)
    --- PASS: TestSBOMDiff/markdown_output_includes_SBOM_section (0.38s)
    --- PASS: TestSBOMDiff/diff_detects_SBOM_package_changes (0.37s)
    --- PASS: TestSBOMDiff/diff_with_identical_SBOMs_shows_no_SBOM_section (0.38s)
    --- PASS: TestSBOMDiff/CycloneDX_format_support (0.37s)
    --- PASS: TestSBOMDiff/pack_and_pull_roundtrip_preserves_SBOM (0.96s)
--- PASS: TestRootCommand (0.00s)
    --- PASS: TestRootCommand/unknown_command_error (0.37s)
    --- PASS: TestRootCommand/verbose_flag_accepted (0.37s)
    --- PASS: TestRootCommand/help_flag (0.37s)
    --- PASS: TestRootCommand/no-cache_flag_accepted (0.38s)
--- PASS: TestDiffFieldGranularity (0.00s)
    --- PASS: TestDiffFieldGranularity/owner_team_modified (0.34s)
    --- PASS: TestDiffFieldGranularity/owner_contact_added_is_granular (0.34s)
    --- PASS: TestDiffFieldGranularity/state_type_change_detected (0.35s)
    --- PASS: TestDiffFieldGranularity/interface_visibility_toggle_detected (0.35s)
--- PASS: TestDiffCommand (0.00s)
    --- PASS: TestDiffCommand/same_contract_no_changes (0.35s)
    --- PASS: TestDiffCommand/json_output (0.36s)
    --- PASS: TestDiffCommand/help_flag (0.19s)
    --- PASS: TestDiffCommand/verbose_flag (0.19s)
    --- PASS: TestDiffCommand/markdown_output (0.19s)
    --- PASS: TestDiffCommand/breaking_changes_across_versions (0.55s)
    --- PASS: TestDiffCommand/OCI_ref_diff (1.22s)
--- PASS: TestDiffOpenAPIDeep (0.03s)
    --- PASS: TestDiffOpenAPIDeep/method_added_is_non-breaking (0.33s)
    --- PASS: TestDiffOpenAPIDeep/json_output_shows_deep_changes (0.34s)
    --- PASS: TestDiffOpenAPIDeep/path_added_detected (0.35s)
    --- PASS: TestDiffOpenAPIDeep/parameter_removed_detected (0.33s)
    --- PASS: TestDiffOpenAPIDeep/response_added_detected (0.34s)
    --- PASS: TestDiffOpenAPIDeep/response_modified_detected (0.35s)
    --- PASS: TestDiffOpenAPIDeep/method_removed_is_breaking (0.35s)
    --- PASS: TestDiffOpenAPIDeep/identical_OpenAPI_specs (0.36s)
--- PASS: TestDiffGraphChanges (9.13s)
    --- PASS: TestDiffGraphChanges/no_graph_changes_for_identical_contracts (0.95s)
    --- PASS: TestDiffGraphChanges/removed_dependency (1.41s)
    --- PASS: TestDiffGraphChanges/tree_formatting_with_connectors (1.95s)
    --- PASS: TestDiffGraphChanges/json_output_includes_graph_diff (2.12s)
    --- PASS: TestDiffGraphChanges/added_dependency (2.54s)
    --- PASS: TestDiffGraphChanges/version_change_in_dependency (2.96s)
--- PASS: TestPackCommand (0.00s)
    --- PASS: TestPackCommand/help_flag (0.56s)
    --- PASS: TestPackCommand/with_set_override (2.74s)
    --- PASS: TestPackCommand/custom_output_path (2.76s)
    --- PASS: TestPackCommand/archive_creation (3.23s)
    --- PASS: TestPackCommand/with_values_file (5.19s)
    --- PASS: TestPackCommand/markdown_output (6.54s)
    --- PASS: TestPackCommand/json_output (6.54s)
PASS
ok  	github.com/trianalab/pacto/v2/tests/e2e	92.675s
